name,model,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20
"BM25(k_1=1.4, b=0.1)",BM25,0.3132,0.5525,0.3168,0.2301,0.7493,0.365,0.4119
"BM25(k_1=1.0, b=0.2)",BM25,0.312,0.5464,0.3239,0.2292,0.7455,0.3635,0.4114
"BM25(k_1=0.4, b=0.75)",BM25,0.312,0.5504,0.3115,0.2168,0.7336,0.3547,0.4046
"BM25(k_1=0.4, b=0.6)",BM25,0.3117,0.5461,0.3115,0.2159,0.7329,0.3536,0.4042
"BM25(k_1=2.5, b=0.0)",BM25,0.3116,0.5533,0.315,0.2292,0.7481,0.3647,0.4113
"BM25(k_1=0.8, b=0.3)",BM25,0.3116,0.5382,0.315,0.2265,0.7459,0.3619,0.4077
"BM25(k_1=1.0, b=0.3)",BM25,0.3111,0.5352,0.3239,0.2319,0.7473,0.3645,0.409
"BM25(k_1=0.6, b=0.4)",BM25,0.3106,0.5467,0.3097,0.2239,0.7429,0.3579,0.4068
"BM25(k_1=3.0, b=0.0)",BM25,0.3104,0.5638,0.3133,0.2257,0.7503,0.3635,0.413
"BM25(k_1=1.2, b=0.1)",BM25,0.3102,0.5415,0.3204,0.2292,0.7454,0.3624,0.4077
"BM25(k_1=0.4, b=0.5)",BM25,0.31,0.5456,0.3115,0.2159,0.7326,0.3525,0.402
"BM25(k_1=2.0, b=0.0)",BM25,0.3099,0.551,0.3133,0.2283,0.7492,0.3633,0.4113
"BM25(k_1=1.0, b=0.1)",BM25,0.3096,0.5538,0.3168,0.2265,0.7434,0.3625,0.4096
"BM25(k_1=1.4, b=0.0)",BM25,0.3087,0.554,0.3133,0.2221,0.7472,0.358,0.4068
"BM25(k_1=0.8, b=0.2)",BM25,0.3085,0.5376,0.3168,0.2248,0.7456,0.3576,0.4047
"BM25(k_1=0.6, b=0.3)",BM25,0.3082,0.5411,0.308,0.2221,0.7416,0.3559,0.4037
"BM25(k_1=1.6, b=0.0)",BM25,0.3081,0.548,0.3115,0.223,0.746,0.3576,0.4083
"BM25(k_1=4.0, b=0.0)",BM25,0.307,0.5584,0.308,0.2283,0.7487,0.3603,0.408
